Typical Measured Spectrum of Semrock BLP01-568R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
625,2415	0,98242340679214
625,4085	0,98223381274318
625,5755	0,982121115072313
625,7425	0,9820806494933
625,909	0,98169116848177
626,076	0,981367199372663
626,243	0,980981127399269
626,41	0,98055449553342
626,5765	0,980493700930279
626,7435	0,980178739232919
626,9105	0,979631414242879
627,0775	0,979365239629667
627,244	0,97885421965551
627,411	0,978584879693261
627,578	0,977980536485122
627,7445	0,977782340380823
627,9115	0,977663558368885
628,0785	0,977253541968925
628,2455	0,977529485488245
628,412	0,97689629673689
628,579	0,976532245054884
628,7455	0,976367207735475
628,9125	0,976281934773346
629,0795	0,97657090688851
629,2465	0,976238283551196
629,413	0,976477857167509
629,58	0,976097189288532
629,7465	0,976155920780182
629,9135	0,976602394169365
630,0805	0,97687336615421
630,247	0,976548420831504
630,414	0,976636811072369
630,5805	0,976659586163058
630,7475	0,976997356814085
630,914	0,977078760908715
631,081	0,977084044010669
631,2475	0,977157211969887
631,4145	0,977673461389076
631,5815	0,97770600209612
631,748	0,977988580000988
631,9145	0,978140513009819
632,0815	0,97772897367403
632,2485	0,978446899772109
632,415	0,978893489298964
632,5815	0,978806151290692
632,7485	0,978889615129039
632,915	0,97905925931676
633,082	0,978992119015625
633,2485	0,979324252921305
633,4155	0,979173479869933
633,582	0,979281890557578
633,7485	0,97902871194263
633,9155	0,979004546268762
634,082	0,979156310983073
634,2485	0,979114258395001
634,4155	0,97878082197648
634,582	0,978584200740156
634,7485	0,979176243559859
634,9155	0,978911505385283
635,082	0,979050159929298
635,2485	0,978690114499032
635,4155	0,978792755255927
635,582	0,978565938197321
635,7485	0,978413288459636
635,9155	0,978578760982503
636,082	0,978101331832058
636,2485	0,978141735343721
636,4155	0,978494075458543
636,582	0,978061676795676
636,7485	0,977884734275766
636,9155	0,978008323445738
637,082	0,978053133842252
637,2485	0,978073615393183
637,415	0,978247598703132
637,5815	0,978468738923831
637,7485	0,978435515221792
637,915	0,97816842927258
638,0815	0,978090792847385
638,248	0,978817843371182
638,4145	0,979034196672769
638,5815	0,979287067607356
638,7475	0,979535548160444
638,9145	0,979463127698273
639,081	0,979982678818082
639,2475	0,980411430197135
639,414	0,980704340755362
639,5805	0,980662592861055
639,7475	0,981076665503131
639,9135	0,981664579941119
640,0805	0,981779212057527
640,2465	0,982094258783835
640,4135	0,982373880837943
640,58	0,98264118436419
640,7465	0,982805372288792
640,913	0,983428460510838
641,0795	0,983654357382764
641,246	0,983778868392014
641,4125	0,983673528864835
641,579	0,984549959440017
641,7455	0,984572196937903
641,912	0,984675617520364
642,0785	0,984645716683857
642,245	0,98483689866845
642,4115	0,984835303550326
642,578	0,985195977996994
642,7445	0,984616414698661
642,9105	0,984787060648096
643,0775	0,984301037514962
643,2435	0,984337085396405
643,4105	0,984608592494398
643,5765	0,984391484027853
643,7435	0,984126424448228
643,9095	0,983810024871592
644,076	0,983819660933893
644,2425	0,983112918284696
644,409	0,983022794947785
644,5755	0,983045475855944
644,7415	0,982509372296469
644,9085	0,981896462432607
645,0745	0,981504847128913
645,241	0,981459127059124
645,4075	0,980952352876859
645,5735	0,980798762793013
645,7405	0,980383381486209
645,9065	0,979865673491545
646,073	0,980176209309775
646,2395	0,980017181053802
646,4055	0,979483760432158
646,5725	0,979593899723032
646,7385	0,978636505931554
646,905	0,978746693541746
647,0715	0,978669735283153
647,2375	0,978248013639477
647,404	0,978389842307812
647,5705	0,978264974616977
647,7365	0,978184510579007
647,903	0,97856789453072
648,0695	0,978203197872122
648,2355	0,977906253116175
648,402	0,978169269019513
648,5685	0,978244354628266
648,7345	0,978482103666661
648,901	0,978338004901822
649,0675	0,978901473188037
649,2335	0,97870609180711
649,4	0,978845249522427
649,5665	0,979774847307531
649,7325	0,979671641911231
649,8985	0,979655922300991
650,0655	0,98000027848135
650,2315	0,979952111881415
650,3975	0,980725517674537
650,564	0,980906690750155
650,7305	0,981274095918578
650,8965	0,981358293074878
651,0625	0,981440907031313
651,2295	0,981902388342603
651,3955	0,982251566604183
651,5615	0,982205105357642
651,7275	0,981941574474319
651,8945	0,982422673843816
652,0605	0,982994326056349
652,2265	0,982464455909146
652,3925	0,98275244911108
652,559	0,982738317827404
652,7255	0,982618367230643
652,8915	0,982850145056816
653,0575	0,983090851909853
653,2235	0,982586383577878
653,3905	0,982879549891564
653,5565	0,982776825655606
653,7225	0,98262542642942
653,8885	0,982491859107442
654,0545	0,982508249482543
654,2215	0,982515040239479
654,3875	0,982100897774695
